Date,UF
8/1/77,389.10
8/2/77,389.51
8/3/77,389.91
8/4/77,390.32
8/5/77,390.73
8/6/77,391.14
8/7/77,391.55
8/8/77,391.96
8/9/77,392.37
8/10/77,392.85
8/11/77,393.34
8/12/77,393.83
8/13/77,394.31
8/14/77,394.80
8/15/77,395.29
8/16/77,395.77
8/17/77,396.26
8/18/77,396.75
8/19/77,397.24
8/20/77,397.73
8/21/77,398.22
8/22/77,398.72
8/23/77,399.21
8/24/77,399.70
8/25/77,400.19
8/26/77,400.69
8/27/77,401.18
8/28/77,401.68
8/29/77,402.18
8/30/77,402.67
8/31/77,403.17
9/1/77,403.67
9/2/77,404.17
9/3/77,404.66
9/4/77,405.16
9/5/77,405.66
9/6/77,406.17
9/7/77,406.67
9/8/77,407.17
9/9/77,407.67
9/10/77,408.12
9/11/77,408.58
9/12/77,409.04
9/13/77,409.49
9/14/77,409.95
9/15/77,410.41
9/16/77,410.86
9/17/77,411.32
9/18/77,411.78
9/19/77,412.24
9/20/77,412.70
9/21/77,413.16
9/22/77,413.62
9/23/77,414.08
9/24/77,414.54
9/25/77,415.00
9/26/77,415.47
9/27/77,415.93
9/28/77,416.39
9/29/77,416.86
9/30/77,417.32
10/1/77,417.79
10/2/77,418.26
10/3/77,418.72
10/4/77,419.19
10/5/77,419.66
10/6/77,420.12
10/7/77,420.59
10/8/77,421.06
10/9/77,421.53
10/10/77,422.02
10/11/77,422.52
10/12/77,423.01
10/13/77,423.51
10/14/77,424.01
10/15/77,424.50
10/16/77,425.00
10/17/77,425.50
10/18/77,426.00
10/19/77,426.50
10/20/77,427.00
10/21/77,427.50
10/22/77,428.00
10/23/77,428.50
10/24/77,429.01
10/25/77,429.51
10/26/77,430.01
10/27/77,430.52
10/28/77,431.02
10/29/77,431.53
10/30/77,432.03
10/31/77,432.54
11/1/77,433.05
11/2/77,433.56
11/3/77,434.06
11/4/77,434.57
11/5/77,435.08
11/6/77,435.59
11/7/77,436.10
11/8/77,436.61
11/9/77,437.13
11/10/77,437.73
11/11/77,438.33
11/12/77,438.93
11/13/77,439.53
11/14/77,440.14
11/15/77,440.74
11/16/77,441.35
11/17/77,441.95
11/18/77,442.56
11/19/77,443.17
11/20/77,443.77
11/21/77,444.38
11/22/77,444.99
11/23/77,445.60
11/24/77,446.22
11/25/77,446.83
11/26/77,447.44
11/27/77,448.05
11/28/77,448.67
11/29/77,449.29
11/30/77,449.90
12/1/77,450.52
12/2/77,451.14
12/3/77,451.76
12/4/77,452.38
12/5/77,453.00
12/6/77,453.62
12/7/77,454.24
12/8/77,454.87
12/9/77,455.49
12/10/77,455.81
12/11/77,456.13
12/12/77,456.45
12/13/77,456.77
12/14/77,457.09
12/15/77,457.41
